                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9978,                 4.5206,                 2.6455,                      0,                      0,                      0,                      0,                 4.2631,                 4.4851,                 2.6252,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                 3.6488,                 4.4037,                 2.4949,                      0,                      0,                      0,                      0,                 4.1986,                 4.4935,                 2.5995,             2.7216e-05,             2.7216e-05,             2.7216e-05
                      3,                 3.7974,                  4.617,                  2.653,                      0,                      0,                      0,                      0,                 4.1307,                 4.4954,                 2.5756,              4.527e-05,              4.527e-05,              4.527e-05
                      4,                 3.9196,                 4.4291,                 2.6359,                0.00041,                0.00241,                 0.0032,                 0.0016,                 3.4113,                 4.2395,                 2.2462,             6.3252e-05,             6.3252e-05,             6.3252e-05
                      5,                 3.4452,                 3.9397,                 2.2922,                0.08846,                0.10849,                0.06289,                0.01677,                 2.6909,                 3.2226,                 1.8256,             8.1162e-05,             8.1162e-05,             8.1162e-05
                      6,                 2.8448,                 3.7207,                  1.957,                0.35448,                0.06551,                0.08403,                0.02407,                 3.0564,                 5.2587,                 1.9869,                9.9e-05,                9.9e-05,                9.9e-05
                      7,                 2.4766,                 2.7954,                 1.7059,                0.56249,                0.09321,                0.11037,                0.04043,                  3.109,                 16.535,                 2.1852,             0.00011677,             0.00011677,             0.00011677
                      8,                 2.2074,                 2.5636,                 1.5947,                0.14447,                0.22547,                0.12941,                0.04655,                  2.786,                 8.7281,                 2.0271,             0.00013446,             0.00013446,             0.00013446
                      9,                 2.2694,                 2.2854,                  1.538,                0.18063,                0.20171,                0.14672,                 0.0528,                 2.5319,                 5.2944,                 1.6806,             0.00015208,             0.00015208,             0.00015208
                     10,                 1.9617,                 2.0759,                 1.4466,                0.19182,                0.25006,                0.17813,                0.07055,                 2.4164,                 5.2565,                 1.5439,             0.00016963,             0.00016963,             0.00016963
                     11,                 2.0395,                 1.9398,                 1.4437,                0.20586,                0.27352,                0.21063,                0.08815,                 2.5457,                 7.9154,                  1.522,             0.00018711,             0.00018711,             0.00018711
                     12,                 1.9679,                 2.2706,                 1.4449,                0.20586,                0.27352,                0.21063,                0.08815,                 2.5457,                 7.9154,                  1.522,             0.00020452,             0.00020452,             0.00020452
                     13,                 1.8395,                 1.8514,                 1.3643,                0.25747,                0.41406,                0.28686,                0.12564,                 2.1761,                 2.8564,                  1.349,             0.00022185,             0.00022185,             0.00022185
                     14,                 1.8092,                 1.7709,                 1.3942,                0.34492,                  0.413,                0.32489,                0.15578,                 2.1178,                 2.6376,                 1.3166,             0.00023911,             0.00023911,             0.00023911
                     15,                 1.6278,                  1.548,                 1.2874,                0.34492,                  0.413,                0.32489,                0.15578,                 2.1178,                 2.6376,                 1.3166,              0.0002563,              0.0002563,              0.0002563
                     16,                 1.6742,                 1.6919,                 1.3021,                0.23907,                0.45248,                0.25134,                0.12747,                 2.0323,                 3.4729,                 1.2624,             0.00027342,             0.00027342,             0.00027342
                     17,                 1.7828,                 1.7638,                 1.3541,                0.26279,                0.33455,                0.24292,                0.11139,                  2.145,                 2.4949,                 1.3441,             0.00029047,             0.00029047,             0.00029047
